site,area,Lon,Lat,X_tm35fin,Y_tm35fin
PAL094,PAL,24.1161012803072,67.99727526443513,379461.6331,7545373.889
PAL095,PAL,24.118714541201918,67.99461976796954,379556.9903,7545072.998
PAL096,PAL,24.11325804140519,67.99448103620927,379328.3149,7545068.192
PAL097,PAL,24.11495523948926,67.99031747670541,379377.5486,7544601.102
PAL098,PAL,24.109226670930223,67.98879732566192,379130.2585,7544442.969
PAL099,PAL,24.114758199581917,67.98654117331175,379349.6607,7544180.847
PAL100,PAL,24.102158539534663,67.98334497748819,378806.4035,7543849.485
PAL101,PAL,24.09866308948454,67.98095019443815,378647.7733,7543589.595
PAL102,PAL,24.09875785101025,67.97642207923131,378628.0376,7543085.031
PAL103,PAL,24.11184415033476,67.97698755389818,379178.1078,7543122.372
PAL104,PAL,24.108064509824096,67.97100602627522,378988.887,7542463.493
PAL105,PAL,24.096142390851828,67.96943901014355,378482.1129,7542312.342
PAL106,PAL,24.089258890226233,67.96696278927493,378181.2365,7542050.075
